threshold;versione;time_slot;book_name;tipo;stato;actual_ci;forecast_time;forecast_ci;tempo_sec;co2_emessa_g
150;pattern;10:30;Madame Bovary;corrente;eseguito;130.0;11:00;140.0;8.34654429999955;0.015070149430554743
150;pattern;10:30;Le avventure di Alice nel Paese delle Meraviglie;corrente;eseguito;130.0;11:00;140.0;8.50366490000033;0.015353839402778376
150;pattern;10:30;Il conte di Montecristo;corrente;eseguito;130.0;11:00;140.0;8.387045999999827;0.01514327749999969
150;pattern;10:30;Moby Dick;precedente;eseguito;130.0;11:00;140.0;6.50000038149301e-06;1.1736111799917935e-08
150;pattern;10:30;Il piccolo principe;precedente;eseguito;130.0;11:00;140.0;2.4000000848900527e-06;4.3333334866070395e-09
150;pattern;10:30;Anna Karenina;precedente;eseguito;130.0;11:00;140.0;2.200000380980782e-06;3.97222291010419e-09
150;pattern;10:30;Lo straniero;precedente;eseguito;130.0;11:00;140.0;1.600000359758269e-06;2.8888895384524302e-09
150;pattern;10:30;I miserabili;precedente;eseguito;130.0;11:00;140.0;1.8999999156221747e-06;3.4305554032067046e-09
150;pattern;11:00;Frankenstein;corrente;eseguito;145.0;11:30;135.0;8.27932630000032;0.016673643243056202
150;pattern;11:00;Dracula;corrente;eseguito;145.0;11:30;135.0;8.276710500000263;0.01666837531250053
150;pattern;11:00;I fratelli Karamazov;corrente;eseguito;145.0;11:30;135.0;8.44667070000014;0.01701065627083362
150;pattern;11:00;Il buio oltre la siepe;corrente;eseguito;145.0;11:30;135.0;8.376724099999592;0.016869791590276954
150;pattern;11:00;Jane Eyre;corrente;eseguito;145.0;11:30;135.0;8.314479099999517;0.016744437076387914
150;pattern;11:00;Alla ricerca del tempo perduto;precedente;eseguito;145.0;11:30;135.0;9.000000318337698e-06;1.8125000641096754e-08
150;pattern;11:00;Il grande Gatsby;precedente;eseguito;145.0;11:30;135.0;2.499999936844688e-06;5.034722095034441e-09
150;pattern;11:00;Madame Bovary;precedente;eseguito;145.0;11:30;135.0;4.70000031782547e-06;9.465278417842961e-09
